Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi,pitch,roll,yaw
128,0.635,-0.002527214,-0.05003173,0.9958259,-44.28252,-555.0893,-222.3501,-0.1546371,0.6492725,-0.01534131,28.99084,53.83754,0,0,0
129,0.64,-0.004009997,-0.04980658,0.9991632,87.56875,-550.468,-189.6112,-0.1560811,0.6453339,-0.01050479,28.98578,53.82927,0,0,0
130,0.645,-0.001763844,-0.04930234,0.9948279,26.43087,-595.8611,-310.477,-0.1587353,0.6429359,-0.005213822,28.98158,53.82357,0,0,0
131,0.65,-0.001547055,-0.05192298,0.9971097,29.22452,-583.5205,-216.9999,-0.1590813,0.6468352,-0.004503455,28.97831,53.82066,0,0,0
132,0.655,-0.001986166,-0.05089217,0.9985265,97.09241,-566.2318,-215.5881,-0.1543597,0.6509244,-0.00881665,28.97603,53.82067,0,0,0
133,0.66,-0.001114717,-0.05301182,1.001346,120.6851,-561.8452,-186.8286,-0.1500783,0.652837,-0.01500841,28.97479,53.8237,0,0,0
134,0.665,-0.002662865,-0.05219833,0.9989324,107.0452,-534.4769,-242.6496,-0.1511088,0.6490884,-0.0196313,28.97458,53.82972,0,0,0
135,0.67,-0.00403173,-0.0501771,0.9988738,127.7756,-584.6456,-246.2327,-0.1560806,0.6468353,-0.02101022,28.97542,53.83865,0,0,0
136,0.675,-0.007144162,-0.05001542,0.9992216,11.55526,-535.8052,-235.2281,-0.1577781,0.648034,-0.01904694,28.97729,53.85036,0,0,0
137,0.68,-0.004998517,-0.05101367,1.00083,104.5814,-539.4171,-210.2068,-0.1545792,0.6543382,-0.01500687,28.98015,53.86461,0,0,0
138,0.685,-0.006917907,-0.0511806,1.002083,39.85984,-531.9451,-238.9691,-0.1497542,0.656429,-0.01059239,28.98396,53.88117,0,0,0
139,0.69,-0.003503568,-0.04936299,0.9980429,1.734312,-618.7982,-261.3115,-0.1485777,0.6528369,-0.00750406,28.98864,53.89966,0,0,0
140,0.695,-0.006021725,-0.05046734,1.003106,57.37577,-599.8571,-266.0182,-0.151372,0.6459285,-0.006936044,28.99408,53.91973,0,0,0
141,0.7,-0.002141642,-0.04882298,0.9987491,116.1454,-582.2516,-275.3154,-0.1560807,0.6468354,-0.009005015,29.00019,53.94091,0,0,0
142,0.705,-0.004520632,-0.05193406,1.004947,90.50312,-520.4325,-239.971,-0.1580439,0.6519792,-0.01146216,29.00385,53.95728,0,0,0
143,0.71,-0.00163085,-0.04871745,0.9981245,61.36096,-623.653,-287.8755,-0.1560802,0.654337,-0.01200639,28.99767,53.95485,0,0,0
144,0.715,-0.006703836,-0.05117477,1.002655,25.86392,-559.1755,-231.3318,-0.1521519,0.6474856,-0.01168513,28.99206,53.95271,0,0,0
145,0.72,-0.001107476,-0.05011176,0.9961398,10.56956,-609.8472,-238.4365,-0.1515793,0.642333,-0.01350734,28.98714,53.9509,0,0,0
146,0.725,-0.005773982,-0.05152841,1.004164,99.62001,-523.7978,-224.2999,-0.1550554,0.6431007,-0.01648465,28.98301,53.94938,0,0,0
147,0.73,-0.002277131,-0.04978742,0.9973217,53.99007,-595.5342,-216.4761,-0.1590814,0.6483357,-0.01650818,28.97977,53.9482,0,0,0
148,0.735,-0.007130273,-0.05079849,1.001146,42.28698,-488.8768,-167.0287,-0.157659,0.649519,-0.01387699,28.97746,53.94728,0,0,0
149,0.74,-0.005328878,-0.05005579,0.9958823,24.49636,-576.7563,-212.1476,-0.1515782,0.6513373,-0.01350681,28.97612,53.94661,0,0,0
150,0.745,-0.008886158,-0.05004992,1.000981,28.06366,-541.3143,-252.294,-0.1470404,0.653513,-0.01496203,28.97578,53.94616,0,0,0
151,0.75,-0.004533649,-0.05013372,0.9983118,62.32691,-602.7753,-182.3384,-0.1500783,0.6543375,-0.01200549,28.97644,53.94587,0,0,0
152,0.755,-0.006396988,-0.04986082,0.9974111,61.97085,-546.3636,-276.6794,-0.1557408,0.6488618,-0.005537648,28.9781,53.94571,0,0,0
153,0.76,-0.002352675,-0.05070219,0.994863,76.04387,-585.4724,-273.8106,-0.1560802,0.6468358,-0.006005073,28.98073,53.94567,0,0,0
154,0.765,-0.003494138,-0.04969496,0.996089,76.68034,-559.2,-236.9291,-0.1512633,0.6509495,-0.01584505,28.98427,53.94565,0,0,0
155,0.77,-0.001658821,-0.05017102,0.9947464,9.101837,-599.3823,-257.6432,-0.1515796,0.6573391,-0.02251021,28.98867,53.94564,0,0,0
156,0.775,-0.001200252,-0.05117229,0.9973572,41.50443,-599.9597,-261.0405,-0.1582982,0.6549698,-0.01748888,28.99384,53.94554,0,0,0
157,0.78,-0.001370332,-0.04932113,0.9942296,-7.028907,-560.9479,-218.8528,-0.1620831,0.6498365,-0.01050651,28.99967,53.94524,0,0,0
158,0.785,-0.00171865,-0.04989758,0.9943534,11.97712,-568.2499,-201.7837,-0.1580148,0.6480381,-0.01284568,29.00454,53.94189,0,0,0
159,0.79,-0.003258183,-0.05017371,0.9940646,0.8916387,-554.1527,-246.6835,-0.1560816,0.652838,-0.01950955,28.9981,53.91637,0,0,0
160,0.795,-0.00417249,-0.0502226,0.9969199,58.3217,-550.621,-170.2666,-0.1609495,0.6552693,-0.01976906,28.9922,53.89086,0,0,0
161,0.8,-0.005539132,-0.04976759,0.9969334,99.55877,-491.6965,-258.092,-0.163583,0.6558394,-0.0150074,28.98698,53.86575,0,0,0
162,0.805,-0.004200491,-0.04910031,0.9945524,47.70388,-546.0181,-254.5059,-0.1564621,0.6551528,-0.01254958,28.98254,53.84138,0,0,0
